window_id,recording_id,true_family,predicted_family,action,classifier_confidence,memory_support,combined_support,novelty_score,classifier_memory_agree,used_repeat,fold_id,strategy,unknown_family,is_unknown
testing/allspice/allspice_6.csv#0:128,testing/allspice/allspice_6.csv,spices,spices,recognize,0.9986982289833909,0.25338979684889285,0.5030506349816591,0.49694936501834086,True,False,outer-1-fruits,closed_set,fruits,False
testing/allspice/allspice_6.csv#128:256,testing/allspice/allspice_6.csv,spices,spices,recognize,0.9816472960655336,0.26453135628543484,0.5095846255747375,0.4904153744252625,True,False,outer-1-fruits,closed_set,fruits,False
testing/allspice/allspice_6.csv#256:384,testing/allspice/allspice_6.csv,spices,spices,recognize,0.999732362779906,0.09331133105942938,0.30542815435742227,0.6945718456425778,True,False,outer-1-fruits,closed_set,fruits,False
testing/allspice/allspice_6.csv#384:512,testing/allspice/allspice_6.csv,spices,spices,recognize,0.998752850714126,0.25200180491020974,0.5016846828827616,0.4983153171172384,True,False,outer-1-fruits,closed_set,fruits,False
testing/almond/almond_6.csv#0:128,testing/almond/almond_6.csv,nuts,nuts,recognize,0.7636370816984206,0.5547299389599963,0.6508550927189205,0.3491449072810795,True,False,outer-1-fruits,closed_set,fruits,False
testing/almond/almond_6.csv#128:256,testing/almond/almond_6.csv,nuts,nuts,recognize,0.6875372617123957,0.45342245172373186,0.5583411420064399,0.4416588579935601,True,False,outer-1-fruits,closed_set,fruits,False
testing/almond/almond_6.csv#256:384,testing/almond/almond_6.csv,nuts,nuts,recognize,0.7555541419989887,0.4626765257637417,0.5912505098911094,0.4087494901088906,True,False,outer-1-fruits,closed_set,fruits,False
testing/almond/almond_6.csv#384:512,testing/almond/almond_6.csv,nuts,nuts,recognize,0.8934271168044817,0.5164021536167323,0.6792405223611311,0.3207594776388689,True,False,outer-1-fruits,closed_set,fruits,False
testing/asparagus/asparagus_6.csv#0:128,testing/asparagus/asparagus_6.csv,vegetables,vegetables,recognize,0.846106099616558,0.24667792449107215,0.4568541304975242,0.5431458695024758,True,False,outer-1-fruits,closed_set,fruits,False
testing/asparagus/asparagus_6.csv#128:256,testing/asparagus/asparagus_6.csv,vegetables,nuts,recognize,0.49947933859525956,0.5581197775135762,0.3801499753196999,0.6198500246803,False,False,outer-1-fruits,closed_set,fruits,False
testing/asparagus/asparagus_6.csv#256:384,testing/asparagus/asparagus_6.csv,vegetables,vegetables,recognize,0.9901018688422586,0.1213780598884158,0.34666503130827614,0.6533349686917238,True,False,outer-1-fruits,closed_set,fruits,False
testing/asparagus/asparagus_6.csv#384:512,testing/asparagus/asparagus_6.csv,vegetables,nuts,recognize,0.7403507961263125,0.2110647112479545,0.2846158515617463,0.7153841484382537,False,False,outer-1-fruits,closed_set,fruits,False
